channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,Unnamed: 9
Bro Code,C++ number guessing game ↕️,https://www.youtube.com/watch?v=hfnr2EPzn98,5/20/24,4:06,8065,298,35,cnumberguessinggame.txt,2
Bro Code,Random event generator in C++ 🎁,https://www.youtube.com/watch?v=JLIF5XHBL3E,5/20/24,3:41,8099,275,22,randomeventgeneratorinc.txt,2
Bro Code,C++ create a random number generator 🎲,https://www.youtube.com/watch?v=bYEdLCWJeHA,5/20/24,3:26,10676,321,15,ccreatearandomnumbergenerator.txt,2
Bro Code,C++ nested loops explained ➿,https://www.youtube.com/watch?v=TdtFtPHeyZE,5/20/24,4:17,9233,287,10,cnestedloopsexplained.txt,2
Bro Code,C++ break & continue explained 💔,https://www.youtube.com/watch?v=D2aQITtBhMM,5/20/24,1:42,8660,257,9,cbreakcontinueexplained.txt,2
Bro Code,C++ for loops explained 🔂,https://www.youtube.com/watch?v=gP22X_ykkxI,5/20/24,3:39,10649,311,23,cforloopsexplained.txt,2
Bro Code,C++ while loops explained 🔃,https://www.youtube.com/watch?v=3xcXse7DK5s,5/20/24,3:19,10214,273,13,cwhileloopsexplained.txt,2
Bro Code,C++ Temperature conversion program 🌡️,https://www.youtube.com/watch?v=7bTZrFGRqGM,5/20/24,5:22,9694,288,22,ctemperatureconversionprogram.txt,2
Bro Code,C++ console calculator program 🖩,https://www.youtube.com/watch?v=tjAa5VRuy6A,5/20/24,4:45,12872,418,28,cconsolecalculatorprogram.txt,2
Bro Code,What is C++ type conversion? ✨,https://www.youtube.com/watch?v=Fj9HjbqHto8,5/20/24,3:47,17111,665,16,whatisctypeconversion.txt,2
Bro Code,C++ Typedef and type aliases explained 🙋‍♂️,https://www.youtube.com/watch?v=7TJ7Z1-V_24,5/20/24,5:26,24427,730,74,ctypedefandtypealiasesexplained.txt,2
Bro Code,What are C++ namespaces? 📛,https://www.youtube.com/watch?v=2lcIKzFHjSM,5/20/24,4:37,28949,1190,33,whatarecnamespaces.txt,2
Bro Code,PHP registration form project,https://www.youtube.com/watch?v=Sme8lbrksCs,5/20/24,9:23,6731,187,22,phpregistrationformproject.txt,2
Bro Code,PHP how to query MySQL database,https://www.youtube.com/watch?v=om_GHl6BrdM,5/20/24,4:38,4375,78,6,phphowtoquerymysqldatabase.txt,2
Bro Code,PHP how to insert into MySQL database,https://www.youtube.com/watch?v=tq0ghtZsHJ0,5/20/24,5:53,4820,86,9,phphowtoinsertintomysqldatabase.txt,2
Bro Code,PHPMyAdmin create a table easy,https://www.youtube.com/watch?v=BO6XOcfTyhU,5/20/24,4:11,4474,73,3,phpmyadmincreateatableeasy.txt,2
Bro Code,PHP how to connect to MySQL database,https://www.youtube.com/watch?v=-1DTYAQ25bY,5/20/24,8:50,12196,203,14,phphowtoconnecttomysqldatabase.txt,2
Bro Code,PHP password hashing explained,https://www.youtube.com/watch?v=b6MpUm8CbZo,5/20/24,3:40,3090,107,5,phppasswordhashingexplained.txt,2
Bro Code,PHP $_SERVER explained,https://www.youtube.com/watch?v=M1r8fCgkLyc,5/20/24,5:42,3268,86,2,phpserverexplained.txt,2
Bro Code,PHP $_SESSION explained,https://www.youtube.com/watch?v=JXKQmIpjRTk,5/20/24,11:51,4374,107,9,phpsessionexplained.txt,2
Bro Code,PHP $_COOKIE explained,https://www.youtube.com/watch?v=EgDQ7Z13FQc,5/20/24,5:34,3592,116,3,phpcookieexplained.txt,2
Bro Code,PHP include() function explained,https://www.youtube.com/watch?v=aU0Tqxgtid8,5/20/24,6:51,3042,98,5,phpincludefunctionexplained.txt,2
Bro Code,PHP how to sanitize/validate input,https://www.youtube.com/watch?v=HblQ-B0NXik,5/20/24,8:03,3610,119,5,phphowtosanitizevalidateinput.txt,2
Bro Code,PHP string functions are awesome,https://www.youtube.com/watch?v=B-neQLCsORM,5/20/24,8:02,2969,93,2,phpstringfunctionsareawesome.txt,2
Bro Code,PHP functions explained,https://www.youtube.com/watch?v=SBFO5bIDYHQ,5/20/24,8:49,3043,69,5,phpfunctionsexplained.txt,2
Bro Code,PHP checkboxes explained,https://www.youtube.com/watch?v=gymVxUOyick,5/20/24,6:39,3037,63,4,phpcheckboxesexplained.txt,2
Bro Code,PHP radio buttons explained,https://www.youtube.com/watch?v=TMnID98HmZE,5/20/24,9:24,3518,93,7,phpradiobuttonsexplained.txt,2
Bro Code,PHP isset() & empty() are really useful!,https://www.youtube.com/watch?v=pEhp4Ytzyyw,5/20/24,10:29,4582,125,7,phpissetemptyarereallyuseful.txt,2
Bro Code,PHP associative arrays explained,https://www.youtube.com/watch?v=1Rh61mwOMrA,5/20/24,11:21,4180,126,6,phpassociativearraysexplained.txt,2
Bro Code,PHP arrays explained,https://www.youtube.com/watch?v=CuOZ8d7gWeU,5/20/24,8:03,4117,125,6,phparraysexplained.txt,2
Bro Code,PHP while loops explained,https://www.youtube.com/watch?v=Jkd1YYpA6uw,5/20/24,5:03,3092,77,3,phpwhileloopsexplained.txt,2
Bro Code,PHP for loops explained,https://www.youtube.com/watch?v=HAs7YXPduZI,5/20/24,6:57,3590,79,5,phpforloopsexplained.txt,2
